Folder	H2O_mol	Frequencies	ONIOM_grain_TPD_dlpno	ONIOM_complex_dlpno	BE_Hartree_dlpno	BE_kJ/mol_dlpno	BH(0)_dlpno	BH(0)_kJ/mol_dlpno	BH(0)_Kelvin_dlpno	ONIOM_grain_TPD_b973c	ONIOM_complex_b973c	BE_Hartree_b973c	BE_kJ/mol_b973c	BH(0)_b973c	BH(0)_kJ/mol_b973c	BH(0)_Kelvin_b973c	ZPE_grain_TPD_b973c_gfn2	ZPE_complex_b973c_gfn2	ΔZPE	ΔZPE_kj/mol	BSSE	BSSE_kj/mol	ΔZPE_BSSE_kj/mol	Complex_Dispersion	Grain_Dispersion	Total_dispersion	Total_dispersion_kjmol	mol_at_complex_DLPNO	grain_at_complex_DLPNO	Deformation	Deformation_kjmol	BE_electronic_kjmol_dlpno	Complex_CC_correction	Grain_CC_correction	Total_CC_correction	Total_CC_correction_kjmol	BE_corrected_for_TPD
36	15	Real	-1374.733226148716	-1773.678726137118	0.0047138674310645	12.376258940259843	0.0002522274310644	0.6622231202597938	79.64719948845567	-1375.017971526194	-1774.353846865032	0.0059950497159206	15.74000302914976	0.0031366097159206	8.23516880914971	990.463958289675	0.12963438	0.14730828	0.00285844	7.504834220000051	0.0016032	4.2092016	11.714035820000053	-0.019282582	-0.013479874	0.003761962	9.877031231000002	-398.940645649408	-1374.729388021703	0.0039785985760545	10.44382126214316	22.820080202403005	-1.662899909	-1.428022536	0.0076850649999999	20.177138157499975	8.167057340259845
136	12	Real	-1303.455732045164	-1702.401490260035	0.0049720938998234	13.054232533986465	0.0019229338998234	5.048662953986469	607.2150807546336	-1303.684087598973	-1703.019145555125	0.0051776670300114	13.593964787295022	0.0030869070300114	8.104674407295025	974.7690764006684	0.10158413	0.11849035	0.0020907599999999	5.489290379999997	0.0009583999999999	2.516279199999999	8.005569579999996	-0.013485674	-0.008270062	0.003174866	8.335610683	-398.940745266616	-1303.455493410942	0.0002794885771209	0.7336575149423652	13.78789004892883	-1.370463155	-1.138505698	0.004765149	12.510898699500062	10.537953333986465
34	9	Real	-1232.187898594957	-1631.133297901767	0.0046131858389344	12.111919420122376	0.0014356058389344	3.769183130122376	453.3289030374031	-1232.358860629743	-1631.694183197154	0.0054422782889105	14.288701647534594	0.0030566982889105	8.025361357534594	965.2299013053796	0.07688699	0.09408803	0.00238558	6.26334029	0.000792	2.0793960000000005	8.342736290000001	-0.009548382	-0.005447773	0.0020598629999999	5.408170306499996	-398.940681050646	-1232.187745614905	0.0002580503769991	0.6773822396226592	12.789301659745036	-1.084290749	-0.853078046	0.0040203949999999	10.55554707249988	10.032523420122375
314	15	Real	-1374.728265431386	-1773.673798182234	0.0047466298769904	12.462276742038512	0.0015007498769904	3.9402188020385314	473.8997829477933	-1375.013123277683	-1774.34772546046	0.0047218936549597	12.397331791096915	0.0029688136549597	7.794620251096938	937.4781022932622	0.126583	0.14315154	0.0017530799999999	4.602711539999979	0.0014928	3.919346400000001	8.52205793999998	-0.019535242	-0.012408949	0.005085547	13.352103648500004	-398.94074759889	-1374.726996754294	0.0013071991729134	3.4313978288977864	15.893674570936298	-1.654697429	-1.422639534	0.004865587	12.774598668500158	8.54293034203851
31	12	Real	-1303.461340684211	-1702.406519026626	0.0043922214440499	11.53177740135311	0.0010596814440499	2.7821936313530897	334.6212543665916	-1303.689676928168	-1703.024823814297	0.0052665970069938	13.827450441862313	0.0029244570069938	7.678161871862289	923.4713672832168	0.102583	0.1197406	0.00234214	6.149288570000022	0.0009903999999999	2.6002951999999993	8.74958377000002	-0.013818607	-0.008328364	0.003449497	9.056654373500002	-398.940704688848	-1303.461268984935	0.0001531313990881	0.4019699226063267	11.933747323959436	-1.371926441	-1.139088229	0.005645904	14.823320952000238	8.93148220135311
95	6	Real	-1160.906801603102	-1559.853189498677	0.0056017746039742	14.707459222734428	0.0012463246039742	3.2722252477344287	393.55855919862967	-1161.019965391666	-1560.356347998891	0.0065023181030028	17.071836179433944	0.0029228681030028	7.673990204433945	922.9696306061064	0.04895226	0.06734717	0.0035794499999999	9.397845975	0.000776	2.0373880000000004	11.435233975	-0.007313063	-0.003091641	0.0021806759999999	5.725364837999998	-398.940720145071	-1160.906553062842	0.0003145161599036	0.8256049197470361	15.533064142481464	-0.796849093	-0.56634396	0.0033128249999999	8.697822037499904	12.670071222734428
148	6	Real	-1160.906811515588	-1559.853157075738	0.0055594391790236	14.596307564526684	0.0011776291790236	3.0918654095266773	371.8662389307978	-1161.01997302952	-1560.356300915831	0.0064475971889805	16.928166419668514	0.0028369871889805	7.448509864668509	895.8505569093484	0.04895737	0.06738344	0.00361061	9.479656555000004	0.0007712	2.0247856	11.504442155000005	-0.007251596	-0.003091974	0.0021188759999999	5.563108937999999	-398.94071761797	-1160.906578404844	0.0003016137451368	0.7917360809841512	15.388043645510836	-0.796833279	-0.566342518	0.0032984529999999	8.660088351499946	12.571521964526685
80	21	Real	-1517.298865922184	-1916.243250169185	0.0035981260302833	9.446879892508832	0.0008840560302833	2.3210891075088167	279.1630819288088	-1517.698452081711	-1917.0326086783	0.0042763074670801	11.227445254819033	0.0028086374670801	7.374077669819015	886.8984142097465	0.18204388	0.19832701	0.00146767	3.853367585000015	0.0012464	3.2724232	7.1257907850000155	-0.02454888	-0.017607829	0.004900305	12.865750777500002	-398.940751773821	-1517.298146885797	0.0007533835369599	1.9776317845199287	11.42451167702876	-2.231175192	-1.997478678	0.0065042059999997	17.07679285299945	6.17445669250883
71	9	Real	-1232.181459438726	-1631.126211695473	0.0039661357759541	10.413089479767676	0.0001816957759541	0.4770422597676579	57.375043041735935	-1232.351724677863	-1631.687122799827	0.0055178328418605	14.487070126304957	0.0026805928418605	7.03789650630494	846.4650808278459	0.07478393	0.09243663	0.00283724	7.449173620000017	0.0009472	2.4868736000000022	9.93604722000002	-0.010396176	-0.005154831	0.003200599	8.4031726745	-398.940688890567	-1232.181021236593	0.0005354325369353	1.4055104094552462	11.818599889222922	-1.083501339	-0.850917115	0.0053919159999999	14.15647545799999	7.926215879767673
30	15	Real	-1374.732313688257	-1773.677230260057	0.0041304508290522	10.84449865167676	0.0011964808290522	3.1413604166767284	377.8191248805003	-1375.016505128488	-1774.35114098528	0.0047555676699175	12.485742917368611	0.0026631976699175	6.99222548236858	840.972114721688	0.12721363	0.14412146	0.00209237	5.493517435000031	0.0008415999999999	2.2096207999999993	7.70313823500003	-0.014870541	-0.010705437	0.002124358	5.577501928999999	-398.940719987809	-1374.732215159856	0.0001646615629056	0.4322366026272561	11.276735254304016	-1.652921327	-1.421850156	0.0038788629999999	10.18395480649988	8.63487785167676
